CompanyKey,Company,Year,WomenPct,BvdID,NACE,IncorpYear,NumDirectors,TotalAssets_m,ShareFunds_m,NetIncome_m,Revenue_m,MarketCap_m,Employees,ROA,TotalDebt_m,TobinQ,GenderDiv,GenderDivSq,Blau,FCA_Post,CriticalMass,GenderDiv_x_Post,FirmSize,Leverage,FirmAge,Industry
BAE SYSTEMS,BAE Systems Plc,2025,41.7,GB01470151,3030,1979.0,22.0,37679.0,11937.0,2062.0,28494.0,51437.411842705,104000.0,0.054725443881207037,25742.0,2.0483402384008333,0.41700000000000004,0.17388900000000004,0.48622200000000004,1,1,0.41700000000000004,10.536858189059995,0.6831922290931288,46.0,30
SAGE,Sage Group Plc,2025,40.0,GB02231246,5829,1987.0,18.0,3713.0,720.0,369.0,2513.0,10597.62682,11094.0,0.09938055480743334,2993.0,3.6602819337462966,0.4,0.16000000000000003,0.48,1,1,0.4,8.21959545417708,0.8060867223269593,38.0,58
INFORMA,Informa Plc,2025,45.5,GB08860726,5814,2013.0,26.0,12324.8,6259.9,11.0,4042.8,11381.232088092,14052.0,0.0008925094119174348,6064.9,1.4155306445615345,0.455,0.20702500000000001,0.4959500000000001,1,1,0.455,9.419368771598702,0.49208912112164094,12.0,58
SSE,SSE Plc,2025,45.5,GBSC117119,3511,1988.0,24.0,35353.6,16401.3,1208.7,10223.8,31456.07374132,15197.0,0.03418888034033309,18952.3,1.4258342500147085,0.455,0.20702500000000001,0.4959500000000001,1,1,0.455,10.473155504894809,0.5360783625995655,37.0,35
KINGFISHER,Kingfisher Plc,2025,37.5,GB01664812,4719,1981.0,23.0,11398.0,6158.0,245.0,12971.0,5770.507631625,69720.0,0.021494999122653097,5240.0,0.9660034770683453,0.375,0.140625,0.46875,1,1,0.375,9.341193180394946,0.45972977715388663,44.0,47
ANGLO AMERICAN,Anglo American Plc,2025,45.5,GB03564138,0710,1997.0,26.0,41614.2374332036,17923.537596467,-2780.2775696970098,16768.6187663923,36342.851340591,43000.0,-0.06681072972104142,23690.6998367366,1.4426204799184281,0.455,0.20702500000000001,0.4959500000000001,1,1,0.455,10.636197633687026,0.5692931385505582,28.0,07
BUNZL,Bunzl Plc,2025,55.6,GB00358948,4639,1939.0,21.0,8572.2,2792.8,459.2,11845.4,6730.629340246,26777.0,0.05356851216723828,5779.400000000001,1.4593720795415412,0.556,0.3091360000000001,0.49372799999999994,1,1,0.556,9.056279688099167,0.6742026550943748,86.0,46
BARRATT REDROW,Barratt Redrow Plc,2025,50.0,GB00604574,4110,1957.0,21.0,11549.8,7873.0,186.4,5980.8,6564.162693901,7756.0,0.016138807598399973,3676.7999999999993,0.8866787904466744,0.5,0.25,0.5,1,1,0.5,9.3544233997827,0.3183431747735891,68.0,41
SEGRO,SEGRO Plc,2025,44.4,GB00167591,6831,1919.0,18.0,18181.0,12273.0,551.0,726.0,9750.580968738,495.0,0.03030636378637039,5908.0,0.8612607100125406,0.444,0.197136,0.49372799999999994,1,1,0.444,9.808132371719273,0.3249546229580331,106.0,68
EXPERIAN,Experian Plc,2025,44.4,GBJE93905,7490,1904.0,20.0,10826.9901339469,4230.0270061459405,1138.00834018112,6398.45568097841,23459.058656815,25221.0,0.10510846745976182,6596.963127800959,2.7760274474046516,0.444,0.197136,0.49372799999999994,1,1,0.444,9.289797382065162,0.609307207837649,121.0,74
UNITED UTILITIES,United Utilities Group Plc,2025,45.5,GB06559020,3600,1988.0,22.0,18127.0,2241.4,586.8,2639.6,8966.83243658,6807.0,0.03237160037513102,15885.6,1.3710174014773542,0.455,0.20702500000000001,0.4959500000000001,1,1,0.455,9.805157818462918,0.876350195840459,37.0,36
WPP NEW,WPP Plc,2025,45.5,GBJE111714,7311,1904.0,49.0,24075.0,2772.0,-215.0,13550.0,3640.95795825,98655.0,-0.008930425752855659,21303.0,1.036093788504673,0.455,0.20702500000000001,0.4959500000000001,1,1,0.455,10.088929236666326,0.8848598130841121,121.0,73
CRODA,Croda International Plc,2025,33.3,GB00206132,2059,1924.0,18.0,3411.0,2202.1,62.0,1699.4,3763.175268433,5954.0,0.01817648783347992,1208.9,1.4576591229648197,0.33299999999999996,0.11088899999999997,0.444222,1,1,0.33299999999999996,8.134760782418645,0.35441219583699796,101.0,20
MELROSE INDUSTRIES,Melrose Industries Plc,2025,40.0,GB09800044,3030,2014.0,20.0,7596.0,2827.0,370.0,3589.0,7402.18186859,13647.0,0.04870984728804634,4769.0,1.6023146219839388,0.4,0.16000000000000003,0.48,1,1,0.4,8.935377071932177,0.6278304370721433,11.0,30
SAINSBURY J,J Sainsbury Plc,2025,50.0,GB00185647,4711,1921.0,27.0,18943.0,6150.0,393.0,33845.0,7900.275291198,91.0,0.02074644987594362,12793.0,1.0923969429973077,0.5,0.25,0.5,1,1,0.5,9.849189749128278,0.6753418149184395,104.0,47
HIKMA PHARMACEUTICALS,Hikma Pharmaceuticals Plc,2025,45.5,GB05557934,2120,2004.0,21.0,4214.63621966099,1936.75577295654,298.7627861583,2511.98561496282,3439.2400215,9603.0,0.0708869687885735,2277.8804467044497,1.356492036378958,0.455,0.20702500000000001,0.4959500000000001,1,1,0.455,8.346318560581116,0.5404690530770587,21.0,21
BERKELEY,Berkeley Group Holdings Plc,2025,44.4,GB05172586,4110,1904.0,14.0,6692.8,3559.8,382.0,2486.5,4131.066912282,2552.0,0.0570762610566579,3133.0,1.0853554435037651,0.444,0.197136,0.49372799999999994,1,1,0.444,8.808787600687934,0.46811498924217065,121.0,41
INTERCONTINENTAL HOTELS,InterContinental Hotels Group Plc,2025,40.0,GB05134420,5510,2003.0,21.0,3972.35595028884,-2033.37060430126,564.081976851118,3866.82282681999,15862.046685408,13049.0,0.14200187090738992,6005.7265545901,5.504988352921404,0.4,0.16000000000000003,0.48,1,1,0.4,8.287114636026235,1.139816536841041,22.0,55
IMPERIAL BRANDS,Imperial Brands Plc,2025,36.4,GB03236483,1200,1995.0,21.0,28715.0,5432.0,2071.0,32171.0,25494.581245248,25100.0,0.072122584015323,23283.0,1.6986794792006965,0.364,0.132496,0.463008,1,1,0.364,10.265174913298397,0.810830576353822,30.0,12
PERSIMMON,Persimmon Plc,2025,44.4,GB01818486,4120,1983.0,11.0,5318.2,3614.1,285.7,3772.7,4356.453108943,4605.0,0.05372118385920048,1704.1,1.1395872868532588,0.444,0.197136,0.49372799999999994,1,1,0.444,8.578890179219153,0.3204279643488398,42.0,41
