CompanyKey,Company,Year,WomenPct
OCADO,Ocado Group Plc Food & Drug Retailers,2020,24.3
BURBERRY,Burberry Group Plc,2019,50.0
UNILEVER,Unilever Plc,2019,38.0
NEXT,Next Plc,2019,44.0
JD SPORTS FASHION,JD Sports Fashion Plc,2019,29.0
KINGFISHER,Kingfisher Plc,2019,44.0
JUST EAT,Just Eat Plc,2019,30.0
ASTRAZENECA,Astrazeneca Plc,2019,33.0
GSK,GlaxoSmithKline Plc,2019,45.0
HIKMA,Hikma Pharmaceuticals Plc,2019,27.0
MORRISON,WM Morrison Supermarkets Plc,2019,22.0
J SAINSBURY,Sainsburys Supermarkets Ltd,2019,30.0
OCADO,Ocado Group Plc,2019,25.0
TESCO,Tesco Plc,2019,31.0
ITV,ITV Plc,2019,40.0
PEARSON,Pearson Plc,2019,33.0
RIGHTMOVE,Rightmove Plc,2019,50.0
AUTO TRADER,Auto Trader Group Plc,2019,43.0
WPP,WPP Plc,2019,42.0
INFORMA,Informa Plc,2019,30.0
RELX,Relx Plc,2019,30.0
NATWEST,Royal Bank Of Scotland Group Plc,2019,42.0
LLOYDS BANKING,Lloyds Banking Group Plc,2019,25.0
STANDARD CHARTERED,Standard Chartered Plc,2019,31.0
HSBC,HSBC Holdings Plc,2019,36.0
BARCLAYS,Barclays Plc,2019,33.0
LAND SECURITIES,Land Securities Group Plc,2019,40.0
BRITISH LAND,British Land Co Plc,2019,30.0
SEGRO,Segro Plc,2019,30.0
ADMIRAL,Admiral Group Plc,2019,40.0
RSA,RSA,2019,33.0
HISCOX,Hiscox Ltd,2019,27.0
SEVERN TRENT,Severn Trent Plc,2019,38.0
UNITED,United Utilities Group Plc,2019,30.0
CENTRICA,Centrica Plc,2019,17.0
NATIONAL GRID,National Grid Plc,2019,25.0
SSE,SSE Plc,2019,30.0
WHITBREAD,Whitbread Plc,2019,40.0
INTERCONTINENTAL HOTELS,Intercontinental Hotels Group Plc,2019,36.0
COMPASS,Compass Group Plc,2019,36.0
TUI,TUI AG,2019,31.0
FLUTTER,Flutter Entertainment plc Casinos and Gambling,2019,27.0
INTERNATIONAL CONSOLIDATED AIRLINES,Airlines,2019,33.0
CARNIVAL,Carnival Plc,2019,33.0
DIAGEO,Diageo Plc,2019,44.0
COCA COLA HBC,Coca-Cola HBC AG,2019,23.0
LEGAL GENERAL,Legal General Group Plc,2019,36.0
PHOENIX,Phoenix Group Holdings Life Insurance,2019,33.0
AVIVA,Aviva Plc,2019,30.0
PRUDENTIAL,Prudential Plc,2019,23.0
ST JAMES S PLACE,St James's Place Plc,2019,25.0
VODAFONE,Vodafone Group Plc,2019,42.0
ASSOCIATED BRITISH FOODS,Associated British Foods Plc,2019,25.0
RENTOKIL INITIAL,Rentokil Initial Plc,2019,43.0
EXPERIAN,Experian Plc,2019,33.0
FERGUSON,Ferguson Plc,2019,33.0
BUNZL,Bunzl Plc,2019,25.0
INTERTEK,Intertek Group Plc,2019,30.0
DCC,DCC Plc,2019,27.0
ASHTEAD,Ashtead Group Plc,2019,29.0
MONDI,Mondi Plc,2019,25.0
MELROSE INDUSTRIES,Melrose Industries Plc,2019,30.0
CRH,CRH Plc,2019,42.0
ABRDN,Standard Life Aberdeen Financial Services,2019,42.0
LONDON STOCK EXCHANGE,London Stock Exchange Group Plc,2019,31.0
SCHRODERS,Schroders Plc,2019,45.0
HARGREAVES LANSDOWN,Hargreaves Lansdown Plc,2019,38.0
DS SMITH,DS Smith Plc,2019,25.0
SMURFIT KAPPA,Smurfit Kappa Group Plc,2019,25.0
SMITHS,Smiths Group Plc,2019,20.0
SAGE,Sage Group Plc,2019,30.0
AVEVA,Aveva Group Plc,2019,22.0
BHP,BHP Billiton Plc,2019,36.0
RIO TINTO,Rio Tinto Plc,2019,11.0
ANGLO AMERICAN,Anglo American Plc,2019,20.0
EVRAZ,Evraz Plc,2019,22.0
POLYMETAL,Polymetal International Plc,2019,25.0
ANTOFAGASTA,Antofagasta Plc,2019,20.0
GLENCORE,Glencore Plc,2019,25.0
FRESNILLO,Fresnillo Plc,2019,25.0
SMITH NEPHEW,Smith Nephew Plc,2019,30.0
NMC HEALTH,NMC Health Plc,2019,18.0
BAE SYSTEMS,BAE Systems Plc,2019,38.0
ROLLS ROYCE,Rolls-Royce Holdings Plc,2019,31.0
MEGGITT,Meggitt Plc,2019,40.0
JOHNSON MATTHEY,Johnson Matthey Plc,2019,30.0
CRODA,Croda International Plc,2019,38.0
HALMA,Halma Plc,2019,40.0
BARRATT REDROW,Barratt Developments Plc,2019,38.0
TAYLOR WIMPEY,Taylor Wimpey Plc,2019,40.0
BERKELEY,Berkeley Group Holdings Plc,2019,25.0
PERSIMMON,Persimmon Plc,2019,38.0
RECKITT BENCKISER,Reckitt Benckiser Group Plc,2019,36.0
SHELL,Royal Dutch Shell Plc,2019,42.0
SPIRAX,Spirax-Sarco Engineering Plc,2019,30.0
BRITISH AMERICAN,British American Tobacco Plc,2019,27.0
IMPERIAL BRANDS,Imperial Brands Plc,2019,40.0
