CompanyKey,Company,Year,WomenPct
BAE SYSTEMS,BAE Systems Plc,2024,41.7
HISCOX,Hiscox Ltd,2024,50.0
BUNZL,Bunzl Plc,2024,50.0
LONDONMETRIC PROPERTY,Londonmetric Property Plc,2024,40.0
SSE,SSE Plc,2024,46.2
INFORMA,Informa Plc,2024,45.5
WHITBREAD,Whitbread Plc,2024,36.4
SMITHS,Smiths Group Plc,2024,40.0
COMPASS,Compass Group Plc,2024,42.9
IMI,IMI Plc,2024,50.0
SCHRODERS,Schroders Plc,2024,61.5
SEGRO,SEGRO Plc,2024,44.4
UNITE,Unite Group Plc,2024,40.0
EXPERIAN,Experian Plc,2024,50.0
M G,M&G Plc,2024,40.0
AVIVA,Aviva Plc,2024,46.2
GLENCORE,Glencore Plc,2024,42.9
STANDARD CHARTERED,Standard Chartered Plc,2024,41.7
MELROSE INDUSTRIES,Melrose Industries Plc,2024,33.3
PERSIMMON,Persimmon Plc,2024,40.0
CRODA,Croda International Plc,2024,40.0
BERKELEY,Berkeley Group Holdings Plc,2024,44.4
DIPLOMA,Diploma Plc,2024,50.0
SPIRAX,Spirax Group Plc,2024,50.0
ENDEAVOUR,Endeavour Mining Plc,2024,44.4
EASYJET,easyJet Plc,2024,44.4
CENTRICA,Centrica Plc,2024,45.5
RIO TINTO,Rio Tinto Plc,2024,42.9
ANGLO AMERICAN,Anglo American Plc,2024,45.5
JD SPORTS FASHION,JD Sports Fashion Plc,2024,36.4
IMPERIAL BRANDS,Imperial Brands Plc,2024,45.5
HSBC,HSBC Holdings Plc,2024,57.1
ENTAIN,Entain Plc,2024,36.4
ADMIRAL,Admiral Group Plc,2024,45.5
TESCO,Tesco Plc,2024,45.5
BRITISH AMERICAN,British American Tobacco Plc,2024,50.0
WEIR,Weir Group Plc,2024,44.4
DCC,DCC Plc,2024,40.0
SHELL,Shell Plc,2024,41.7
MONDI,Mondi Plc,2024,40.0
DS SMITH,DS Smith Plc,2024,33.3
ASSOCIATED BRITISH FOODS,Associated British Foods Plc,2024,50.0
ROLLS ROYCE,Rolls-Royce Holdings Plc,2024,50.0
HIKMA,Hikma Pharmaceuticals Plc,2024,45.5
RECKITT BENCKISER,Reckitt Benckiser Group Plc,2024,53.8
VODAFONE,Vodafone Group Plc,2024,38.5
BARCLAYS,Barclays Plc,2024,38.5
INTERTEK,Intertek Group Plc,2024,33.3
TAYLOR WIMPEY,Taylor Wimpey Plc,2024,44.4
ASHTEAD,Ashtead Group Plc,2024,44.4
HOWDEN JOINERY,Howden Joinery Group Plc,2024,45.5
ANTOFAGASTA,Antofagasta Plc,2024,45.5
GAMES WORKSHOP,Games Workshop Group Plc,2024,40.0
FRESNILLO,Fresnillo Plc,2024,41.7
SMITH NEPHEW,Smith & Nephew Plc,2024,27.3
RENTOKIL INITIAL,Rentokil Initial Plc,2024,30.0
AIRTEL AFRICA,Airtel Africa Plc,2024,25.0
BURBERRY,Burberry Group Plc,2023,50.0
MARKS SPENCER,Marks & Spencer Group Plc,2023,54.5
NEXT,Next Plc,2023,36.4
NATIONAL GRID,National Grid Plc,2023,41.7
LLOYDS BANKING,Lloyds Banking Group Plc,2023,45.5
PEARSON,Pearson Plc,2023,54.5
ASTRAZENECA,AstraZeneca Plc,2023,46.2
DIAGEO,Diageo Plc,2023,70.0
HALEON,Haleon Plc,2023,45.5
RIGHTMOVE,Rightmove Plc,2023,57.1
PHOENIX,Phoenix Group Holdings Plc,2023,38.5
J SAINSBURY,J Sainsbury Plc,2023,44.4
BEAZLEY,Beazley Plc,2023,45.5
LAND SECURITIES,Land Securities Group Plc,2023,40.0
CONVATEC,Convatec Group Plc,2023,44.4
NATWEST,NatWest Group Plc,2023,36.4
GSK,GSK Plc,2023,41.7
WPP,WPP Plc,2023,41.7
AUTO TRADER,Auto Trader Group Plc,2023,55.6
SAGE,Sage Group Plc,2023,40.0
SEVERN TRENT,Severn Trent Plc,2023,75.0
MELROSE INDUSTRIES,Melrose Industries Plc,2023,40.0
UNILEVER,Unilever Plc,2023,41.7
HALMA,Halma Plc,2023,50.0
DECHRA,Dechra Pharmaceuticals Plc,2023,42.9
RELX,RELX Plc,2023,40.0
WHITBREAD,Whitbread Plc,2023,38.5
UNITED,United Utilities Group Plc,2023,44.4
PRUDENTIAL,Prudential Plc,2023,45.5
