Company,BvdID,NACE,IncorpSerial,NumDirectors,Year,TotalAssets,ShareholdersFunds,NetIncome,Revenue,MarketCap,Employees,TotalAssets_m,MarketCap_m,ShareFunds_m,NetIncome_m,Revenue_m,IncorpYear,CompanyKey
RUFFER INVESTMENT COMPANY LIMITED,GBGG41996,6430,2004,3,2025,893.932,888196.0,41710.0,,858.184823824,,893.932,858.184823824,888.196,41.71,,1904.0,RUFFER INVESTMENT
SCHRODER ORIENTAL INCOME FUND LIMITED,GBGG43298,9499,2005,24,2025,776.517,732095.0,94496.0,,695.489717949,,776.517,695.489717949,732.095,94.496,,1904.0,SCHRODER ORIENTAL INCOME FUND
SDCL EFFICIENCY INCOME TRUST PLC,GB11620959,9499,2018,52,2025,846.5,844500.0,-87400.0,,450.449107513,,846.5,450.449107513,844.5,-87.4,,1904.0,SDCL EFFICIENCY INCOME TRUST
BAILLIE GIFFORD US GROWTH TRUST PLC,GB11194060,9499,2018,10,2025,782.43,743790.0,135361.0,,673.542731136,,782.43,673.542731136,743.79,135.361,,1904.0,BAILLIE GIFFORD US GROWTH TRUST
UTILICO EMERGING MARKETS TRUST PLC,GB11102129,6430,2005,22,2025,576.43,550905.0,115849.0,,476.164326313,,576.43,476.164326313,550.905,115.849,,1904.0,UTILICO EMERGING MARKETS TRUST
GEORGIA CAPITAL PLC,GB10852406,6619,2017,6,2025,1433.48641572144,1432423.9264152,521908.093833823,,1082.035067,,1433.48641572144,1082.035067,1432.4239264152002,521.908093833823,,1904.0,GEORGIA CAPITAL
IMPAX ENVIRONMENTAL MARKETS PLC,GB04348393,6430,37263,45,2025,903.618,813244.0,-14534.0,,754.977929392,,903.618,754.977929392,813.244,-14.534,,2001.0,IMPAX ENVIRONMENTAL MARKETS
HG CAPITAL TRUST PLC,GB01525583,6430,1980,20,2025,2608.385,2570263.0,98367.0,,2320.683573574,,2608.385,2320.683573574,2570.263,98.367,,1904.0,HG CAPITAL TRUST
WORLDWIDE HEALTHCARE TRUST PLC,GB03023689,2120,1995,10,2025,1431.055,1385470.0,113363.0,,1247.19744073,,1431.055,1247.19744073,1385.47,113.363,,1904.0,WORLDWIDE HEALTHCARE TRUST
INVESCO ASIA DRAGON TRUST PLC,GB03011768,6430,1995,29,2025,777.252,729912.0,-24764.0,,655.530092968,,777.252,655.530092968,729.912,-24.764,,1904.0,INVESCO ASIA DRAGON TRUST
JPMORGAN INDIA GROWTH & INCOME PLC,GB02915926,6430,1994,25,2025,520.968,502246.0,-87769.0,,457.761105289,,520.968,457.761105289,502.246,-87.769,,1904.0,JPMORGAN INDIA GROWTH INCOME
ST. JAMES'S PLACE PLC,GB03183415,7010,35156,25,2025,224877.5,1478800.0,696700.0,,,3102.0,224877.5,,1478.8,696.7,,1995.0,ST JAMES S PLACE
JPMORGAN EMERGING MARKETS GROWTH & INCOME PLC,GB02618994,6430,1991,54,2025,1308.575,1275423.0,49479.0,,1171.380253822,,1308.575,1171.380253822,1275.423,49.479,,1904.0,JPMORGAN EMERGING MARKETS GROWTH INCOME
THE BAILLIE GIFFORD JAPAN TRUST PLC,GBSC075954,6430,1981,18,2025,907.756,788148.0,123430.0,,698.197892136,,907.756,698.197892136,788.148,123.43,,1904.0,BAILLIE GIFFORD JAPAN TRUST
BLACKROCK GREATER EUROPE INVESTMENT TRUST PLC,GB05142459,6430,2004,51,2025,572.841,569079.0,-40196.0,,542.873453834,,572.841,542.873453834,569.079,-40.196,,1904.0,BLACKROCK GREATER EUROPE INVESTMENT TRUST
OCTOPUS APOLLO VCT PLC,GB05840377,6619,2006,33,2025,562.187,541059.0,12401.0,,510.528182906,,562.187,510.528182906,541.059,12.401,,1904.0,OCTOPUS APOLLO VCT
SHELL PLC,GB04366849,0610,37292,23,2024,308962.757256468,143611737.728957,12828511.7612996,227088730.565658,151408.1728717,96000.0,308962.757256468,151408.1728717,143611.737728957,12828.5117612996,227088.730565658,2001.0,SHELL
GLENCORE PLC,GBJE107710,2399,2011,22,2024,103989.539230716,28424551.3488222,-1302459.8122259,184237483.903815,43117.315085724,84146.0,103989.539230716,43117.315085724,28424.5513488222,-1302.4598122259,184237.483903815,1904.0,GLENCORE
BP P.L.C.,GB00102498,1920,3395,34,2024,224963.664556237,62427201.6976181,303694.729778499,151822654.819372,63611.271550767,100500.0,224963.664556237,63611.271550767,62427.2016976181,303.694729778499,151822.654819372,1908.0,BP
TESCO PLC,GB00445790,4711,17498,24,2024,38890.0,11662000.0,1626000.0,70463000.0,25202.526213797,336440.0,38890.0,25202.526213797,11662.0,1626.0,70463.0,1946.0,TESCO
HSBC HOLDINGS PLC,GB00617987,6420,21551,33,2024,2404886.02910436,153260621.466408,19926678.6082223,56209829.2769559,140922.254689223,211000.0,2404886.02910436,140922.254689223,153260.62146640802,19926.678608222297,56209.829276955905,1958.0,HSBC
UNILEVER PLC,GB00041424,2042,21/06/1894,22,2024,66041.4387098269,18677926.6470238,4756639.79873662,50316537.3974645,112591.295259106,120040.0,66041.4387098269,112591.295259106,18677.9266470238,4756.63979873662,50316.5373974645,1894.0,UNILEVER
ASTRAZENECA PLC,GB02723534,2120,33772,33,2024,82926.1974081526,32578234.3852415,5607591.66402031,43351027.7525812,162311.180771709,94300.0,82926.1974081526,162311.180771709,32578.2343852415,5607.59166402031,43351.0277525812,1991.0,ASTRAZENECA
RIO TINTO PLC,GB00719885,0710,22735,23,2024,81930.6207218183,46203845.1748312,9208087.97480635,43521606.9446353,59175.502888808,59594.0,81930.6207218183,59175.502888808,46203.8451748312,9208.087974806349,43521.6069446353,1961.0,RIO TINTO
VODAFONE GROUP PLC,GB01833679,6190,30880,28,2024,107419.50808144,45063687.6286283,-3484503.92691875,35080738.5033903,18199.830315709,92834.0,107419.50808144,18199.830315709,45063.6876286283,-3484.50392691875,35080.7385033903,1983.0,VODAFONE
COMPASS GROUP PLC,GB04083914,5610,36798,19,2024,18162.0892944585,5151233.67150727,1047253.41366872,31329585.3852662,,579126.0,18162.0892944585,,5151.23367150727,1047.25341366872,31329.5853852662,1999.0,COMPASS
GSK PLC,GB03888792,2120,36500,30,2024,59463.0,13086000.0,2575000.0,32015000.0,55814.210808732,68629.0,59463.0,55814.210808732,13086.0,2575.0,32015.0,1999.0,GSK
SAINSBURY (J) PLC,GB00185647,4711,8350,27,2024,24757.0,6765000.0,253000.0,33249000.0,6049.75061125,95.0,24757.0,6049.75061125,6765.0,253.0,33249.0,1921.0,SAINSBURY J
IMPERIAL BRANDS PLC,GB03236483,1200,35283,21,2024,27826.0,6029000.0,2613000.0,32411000.0,18397.89129465,25600.0,27826.0,18397.89129465,6029.0,2613.0,32411.0,1995.0,IMPERIAL BRANDS
BARCLAYS PLC,GB00048839,6420,20/07/1896,36,2024,1518202.0,72481000.0,6356000.0,26825000.0,38666.155628477,93000.0,1518202.0,38666.155628477,72481.0,6356.0,26825.0,1896.0,BARCLAYS
BAE SYSTEMS PLC,GB01470151,3030,29220,22,2024,38142.0,11777000.0,1956000.0,26533000.0,34586.297897957,100000.0,38142.0,34586.297897957,11777.0,1956.0,26533.0,1979.0,BAE SYSTEMS
BRITISH AMERICAN TOBACCO PLC,GB03407696,1200,35634,25,2024,118899.0,49995000.0,3068000.0,26207000.0,63630.154151177,48989.0,118899.0,63630.154151177,49995.0,3068.0,26207.0,1996.0,BRITISH AMERICAN TOBACCO
AVIVA PLC,GB02468686,6511,2000,46,2024,353883.0,8305000.0,705000.0,20747000.0,12552.820068994,,353883.0,12552.820068994,8305.0,705.0,20747.0,1904.0,AVIVA
ROLLS-ROYCE HOLDINGS PLC,GB07524813,3030,40584,43,2024,35686.0,-881000.0,2521000.0,18909000.0,48358.843176371,42211.0,35686.0,48358.843176371,-881.0,2521.0,18909.0,2010.0,ROLLS ROYCE
BT GROUP PLC,GB04190816,6190,36980,29,2024,50982.0,12908000.0,1054000.0,20635000.0,16513.415350836,91500.0,50982.0,16513.415350836,12908.0,1054.0,20635.0,2000.0,BT
CENTRICA PLC,GB03033654,3522,1995,19,2024,18733.0,4812000.0,1332000.0,19913000.0,6802.015151825,1543.0,18733.0,6802.015151825,4812.0,1332.0,19913.0,1904.0,CENTRICA
ASSOCIATED BRITISH FOODS PLC,GB00293262,1089,12712,11,2024,19014.0,11278000.0,1455000.0,20073000.0,16289.612627632,138271.0,19014.0,16289.612627632,11278.0,1455.0,20073.0,1933.0,ASSOCIATED BRITISH FOODS
LLOYDS BANKING GROUP PLC,GBSC095000,6420,31341,29,2024,906697.0,45888000.0,4477000.0,18003000.0,33201.964224475,66229.0,906697.0,33201.964224475,45888.0,4477.0,18003.0,1984.0,LLOYDS BANKING
NATIONAL GRID PLC,GB04031152,3522,36718,50,2024,106742.0,37826000.0,2902000.0,18378000.0,49436.465796108,31654.0,106742.0,49436.465796108,37826.0,2902.0,18378.0,1999.0,NATIONAL GRID
MARKS AND SPENCER GROUP PLC,GB04256886,4719,37095,21,2024,8821.4,2831900.0,295700.0,13866300.0,7303.305960389,63493.0,8821.4,7303.305960389,2831.9,295.7,13866.3,2000.0,MARKS AND SPENCER
ANGLO AMERICAN PLC,GB03564138,0710,35929,26,2024,51704.6255690607,22743626.5741992,-2445499.81879379,21860440.8508539,31620.329704188,54000.0,51704.6255690607,31620.329704188,22743.6265741992,-2445.49981879379,21860.4408508539,1997.0,ANGLO AMERICAN
NATWEST GROUP PLC,GBSC045551,6420,24922,35,2024,707985.0,39378000.0,4811000.0,14672000.0,32386.80311956,59700.0,707985.0,32386.80311956,39378.0,4811.0,14672.0,1967.0,NATWEST
STANDARD CHARTERED PLC,GB00966425,6420,25525,30,2024,677285.479149694,40878426.5668256,3221874.27234827,15663793.0049272,23978.765382843,81145.0,677285.479149694,23978.765382843,40878.4265668256,3221.8742723482696,15663.7930049272,1968.0,STANDARD CHARTERED
DIAGEO PLC,GB00023307,1101,21/10/1886,23,2024,35929.3701626819,9536603.2867918,3057717.87240135,16014698.5932049,55345.261913796,30092.0,35929.3701626819,55345.261913796,9536.6032867918,3057.71787240135,16014.698593204901,1886.0,DIAGEO
RECKITT BENCKISER GROUP PLC,GB06270876,7010,39239,35,2024,25298.0,6720000.0,1426000.0,14169000.0,33184.470513219,37900.0,25298.0,33184.470513219,6720.0,1426.0,14169.0,2006.0,RECKITT BENCKISER
NATIONAL WESTMINSTER BANK PLC - NATWEST,GB00929027,6419,25569,17,2024,424309.0,23118000.0,3425000.0,11947000.0,,54800.0,424309.0,,23118.0,3425.0,11947.0,1969.0,NATIONAL WESTMINSTER BANK NATWEST
WPP PLC (NEW),GBJE111714,7311,2005,49,2024,25509.0,3734000.0,542000.0,14741000.0,8926.010891165,108044.0,25509.0,8926.010891165,3734.0,542.0,14741.0,1904.0,WPP NEW
KINGFISHER PLC,GB01664812,4719,30210,23,2024,11443.0,6344000.0,185000.0,12804000.0,4414.571082652,73178.0,11443.0,4414.571082652,6344.0,185.0,12804.0,1981.0,KINGFISHER
JD SPORTS FASHION PLC,GB01888425,4764,31099,15,2024,9959.0,3372000.0,490000.0,11483000.0,4619.206961186,97676.0,9959.0,4619.206961186,3372.0,490.0,11483.0,1984.0,JD SPORTS FASHION
JOHNSON MATTHEY PLC,GB00033774,2059,04/11/1891,16,2024,6194.0,2295000.0,373000.0,11674000.0,2222.185527945,10000.0,6194.0,2222.185527945,2295.0,373.0,11674.0,1891.0,JOHNSON MATTHEY
BUNZL PLC,GB00358948,4639,14632,21,2024,9529.2,2790700.0,500400.0,11776400.0,10915.577795999,26978.0,9529.2,10915.577795999,2790.7,500.4,11776.4,1939.0,BUNZL
HALEON PLC,GB13691224,2120,44489,29,2024,34315.0,16224000.0,1442000.0,11371000.0,34167.383329755,24427.0,34315.0,34167.383329755,16224.0,1442.0,11371.0,2020.0,HALEON
EASYJET PLC,GB03959649,5110,36609,21,2024,11035.0,2973000.0,452000.0,9362000.0,3941.651985421,17639.0,11035.0,3941.651985421,2973.0,452.0,9362.0,1999.0,EASYJET
SSE PLC,GBSC117119,3511,32599,24,2024,30363.6,12692800.0,1189400.0,10239400.0,17634.168057905,15824.0,30363.6,17634.168057905,12692.8,1189.4,10239.4,1988.0,SSE
RELX PLC,GB00077536,6311,1244,20,2024,15133.0,3504000.0,1934000.0,9434000.0,67543.833075182,36400.0,15133.0,67543.833075182,3504.0,1934.0,9434.0,1902.0,RELX
BALFOUR BEATTY PLC,GB00395826,4299,16588,21,2024,5632.0,1130000.0,178000.0,8234000.0,2351.424260385,27311.0,5632.0,2351.424260385,1130.0,178.0,8234.0,1944.0,BALFOUR BEATTY
LONDON STOCK EXCHANGE GROUP PLC,GB05369106,8411,2005,22,2024,732819.0,25153000.0,685000.0,8858000.0,59974.341590069,27038.0,732819.0,59974.341590069,25153.0,685.0,8858.0,1904.0,LONDON STOCK EXCHANGE
QUILTER PLC,GB06404270,6420,39374,19,2024,62448.0,1423000.0,-34000.0,5449000.0,2165.130588199,2989.0,62448.0,2165.130588199,1423.0,-34.0,5449.0,2006.0,QUILTER
CURRYS PLC,GB07105905,6190,40162,19,2024,5309.0,2072000.0,165000.0,9055000.0,701.066435158,24462.0,5309.0,701.066435158,2072.0,165.0,9055.0,2009.0,CURRYS
LEGAL & GENERAL GROUP PLC,GB01417162,6511,1836,31,2024,544167.0,3548000.0,195000.0,8542000.0,13542.52738368,,544167.0,13542.52738368,3548.0,195.0,8542.0,1904.0,LEGAL GENERAL
COMPUTACENTER PLC,GB03110569,6209,34974,26,2024,3366.0,819000.0,170800.0,6966600.0,2256.621070123,20074.0,3366.0,2256.621070123,819.0,170.8,6966.6,1994.0,COMPUTACENTER
INCHCAPE PLC,GB00609782,4511,21412,19,2024,5638.0,1474000.0,421000.0,10487000.0,3034.393826232,17588.0,5638.0,3034.393826232,1474.0,421.0,10487.0,1957.0,INCHCAPE
PRUDENTIAL PLC,GB01397169,6511,1848,25,2024,144973.182869276,13942856.2028491,1924994.15332041,8256351.73502806,16928.414122431,,144973.182869276,16928.414122431,13942.8562028491,1924.99415332041,8256.35173502806,1904.0,PRUDENTIAL
HARBOUR ENERGY PLC,GBSC234781,0610,37468,24,2024,24133.767279537,4982666.02584094,-74130.2096309722,4962738.55013369,3678.039550815,3014.0,24133.767279537,3678.039550815,4982.66602584094,-74.1302096309722,4962.73855013369,2001.0,HARBOUR ENERGY
METLEN ENERGY & METALS PLC,GB15944520,3511,2024,72,2024,8834.33220224546,2561231.91168462,508943.068242711,4802434.87838666,,4769.0,8834.33220224546,,2561.23191168462,508.94306824271104,4802.43487838666,1904.0,METLEN ENERGY METALS
JET2 PLC,GB01295221,5110,28146,8,2024,5909.7,1611800.0,446800.0,7173500.0,2659.932975206,15205.0,5909.7,2659.932975206,1611.8,446.8,7173.5,1976.0,JET
NEXT PLC,GB04412362,4791,37355,16,2024,4872.5,1754300.0,736100.0,6121500.0,12304.985478377,50945.0,4872.5,12304.985478377,1754.3,736.1,6121.5,2001.0,NEXT
MONDI PLC,GB06209386,1729,39183,17,2024,7735.33641364882,4430366.10780657,180527.067570436,6141232.720653,5261.637391277,21200.0,7735.33641364882,5261.637391277,4430.36610780657,180.527067570436,6141.232720653,2006.0,MONDI
ANTOFAGASTA PLC,GB01627889,0729,30048,30,2024,18042.2567954419,10325780.2322746,661113.934063745,5271534.71369324,15675.121074426,7015.0,18042.2567954419,15675.121074426,10325.7802322746,661.113934063745,5271.53471369324,1981.0,ANTOFAGASTA
EXPERIAN PLC,GBJE93905,7490,2006,20,2024,9958.65402974764,3933691.52657268,901116.762275784,5813980.61972618,32759.026216992,23297.0,9958.65402974764,32759.026216992,3933.6915265726802,901.116762275784,5813.9806197261805,1904.0,EXPERIAN
BARRATT REDROW PLC,GB00604574,4110,21319,21,2024,7875.2,5439100.0,114100.0,4501900.0,4602.024775411,6451.0,7875.2,4602.024775411,5439.1,114.1,4501.9,1957.0,BARRATT REDROW
MITIE GROUP PLC,GBSC019230,8121,13347,19,2024,2119.7,428000.0,101400.0,5088500.0,1443.135457082,65362.0,2119.7,1443.135457082,428.0,101.4,5088.5,1935.0,MITIE
PHOENIX GROUP HOLDINGS PLC,GB11606773,6511,2018,23,2024,307857.0,1707000.0,-1078000.0,5139000.0,5115.870278136,,307857.0,5115.870278136,1707.0,-1078.0,5139.0,1904.0,PHOENIX
FRASERS GROUP PLC,GB06035106,4764,39072,14,2024,4454.9,1873000.0,380800.0,5327900.0,3676.830408597,32378.0,4454.9,3676.830408597,1873.0,380.8,5327.9,2006.0,FRASERS
DRAX GROUP PLC,GB05562053,3511,38608,19,2024,5388.6,2087100.0,526600.0,6162500.0,2397.119152176,1151.0,5388.6,2397.119152176,2087.1,526.6,6162.5,2004.0,DRAX
RENTOKIL INITIAL PLC,GB05393279,3900,38426,26,2024,10530.4752627395,4219045.15673909,312462.819089689,5532664.35536105,10118.35559906,68500.0,10530.4752627395,10118.35559906,4219.04515673909,312.462819089689,5532.66435536105,2004.0,RENTOKIL INITIAL
WIZZ AIR HOLDINGS PLC,GBJE103356,5110,2009,29,2024,8053.39149374741,265036.26654496,188726.549939615,4817123.99434002,1532.268622987,8816.0,8053.39149374741,1532.268622987,265.03626654496,188.726549939615,4817.1239943400205,1904.0,WIZZ AIR
ENTAIN PLC,GBIM004685V,9329,40299,9,2024,10141.0,2019400.0,-452700.0,5089200.0,4393.317911729,28957.0,10141.0,4393.317911729,2019.4,-452.7,5089.2,2009.0,ENTAIN
BABCOCK INTERNATIONAL GROUP PLC,GB02342138,7490,32540,26,2024,3690.2,621800.0,247100.0,4831300.0,3660.519246558,27700.0,3690.2,3660.519246558,621.8,247.1,4831.3,1988.0,BABCOCK
MORGAN SINDALL GROUP PLC,GB00521970,4120,19560,17,2024,2130.6,647200.0,131700.0,4556100.0,1872.172419,8242.0,2130.6,1872.172419,647.2,131.7,4556.1,1952.0,MORGAN SINDALL
ADMIRAL GROUP PLC,GB03849958,6511,1993,24,2024,7944.2,1370100.0,662900.0,4553400.0,8098.695797024,,7944.2,8098.695797024,1370.1,662.9,4553.4,1904.0,ADMIRAL
SERCO GROUP PLC,GB02048608,8211,31645,27,2024,2660.3,842500.0,44200.0,4787300.0,1549.092994376,47789.0,2660.3,1549.092994376,842.5,44.2,4787.3,1985.0,SERCO
VERTU MOTORS PLC,GB05984855,4519,39022,24,2024,1578.75,357551.0,18103.0,4764192.0,171.983007977,7591.0,1578.75,171.983007977,357.551,18.103,4764.192,2005.0,VERTU MOTORS
AIRTEL AFRICA PLC,GB11462215,6190,43293,25,2024,9291.70397327766,2144596.06802341,170022.030618072,3846362.02902794,6075.582341135,4253.0,9291.70397327766,6075.582341135,2144.59606802341,170.022030618072,3846.3620290279396,2017.0,AIRTEL AFRICA
FIRSTGROUP PLC,GBSC157176,4931,34789,13,2024,3664.7,712500.0,127500.0,5238800.0,912.553948088,30763.0,3664.7,912.553948088,712.5,127.5,5238.8,1994.0,FIRSTGROUP
SMITH & NEPHEW PLC,GB00324357,3250,13563,29,2024,8253.1633389149,4196726.38394697,328404.79965549,4631145.35436504,8668.680273298,18060.0,8253.1633389149,8668.680273298,4196.72638394697,328.40479965548997,4631.14535436504,1936.0,SMITH NEPHEW
TRAVIS PERKINS PLC,GB00824821,4673,23677,19,2024,4031.2,1974100.0,-77400.0,4627700.0,1549.193036753,17464.0,4031.2,1549.193036753,1974.1,-77.4,4627.7,1963.0,TRAVIS PERKINS
BEAZLEY PLC,GB09763575,6511,1986,25,2024,12290.4699172039,3672075.80352648,900961.031676213,4526007.99253358,5217.452448724,,12290.4699172039,5217.452448724,3672.0758035264803,900.961031676213,4526.00799253358,1904.0,BEAZLEY
M&G PLC,GB11444019,6511,2018,24,2024,184224.0,3281000.0,-347000.0,4095000.0,4712.026574074,,184224.0,4712.026574074,3281.0,-347.0,4095.0,1904.0,M G
HILTON FOOD GROUP PLC,GB06165540,4632,39157,19,2024,1236.4,316800.0,39300.0,3988300.0,812.692325736,7831.0,1236.4,812.692325736,316.8,39.3,3988.3,2006.0,HILTON FOOD
KIER GROUP PLC,GB02708030,7112,33715,13,2024,3463.7,520100.0,42700.0,3911600.0,598.625034181,10218.0,3463.7,598.625034181,520.1,42.7,3911.6,1991.0,KIER
INFORMA PLC,GB08860726,5814,41663,26,2024,13690.7,7319500.0,297700.0,3582600.0,10620.674222294,13214.0,13690.7,10620.674222294,7319.5,297.7,3582.6,2013.0,INFORMA
TAYLOR WIMPEY PLC,GB00296805,4120,12816,17,2024,6291.3,4405200.0,219600.0,3512300.0,4322.377268352,4326.0,6291.3,4322.377268352,4405.2,219.6,3512.3,1934.0,TAYLOR WIMPEY
INTERCONTINENTAL HOTELS GROUP PLC,GB05134420,5510,38128,21,2024,3784.62618632103,-1839704.55729337,500578.189766135,3932089.50655469,15774.111111964,12587.0,3784.62618632103,15774.111111964,-1839.7045572933698,500.578189766135,3932.08950655469,2003.0,INTERCONTINENTAL HOTELS
POLAR CAPITAL TECHNOLOGY TRUST PLC,GB03224867,6430,1996,19,2024,3864.301,3804533.0,1115437.0,1118745.0,3533.829907132,,3864.301,3533.829907132,3804.533,1115.437,1118.745,1904.0,POLAR CAPITAL TECHNOLOGY TRUST
PERSIMMON PLC,GB01818486,4120,30824,11,2024,4833.4,3506600.0,267100.0,3210500.0,3832.579972195,4731.0,4833.4,3832.579972195,3506.6,267.1,3210.5,1983.0,PERSIMMON
3I GROUP PLC,GB01142830,6430,16438,20,2024,26056.0,24611000.0,5038000.0,4215000.0,35198.106895951,226.0,26056.0,35198.106895951,24611.0,5038.0,4215.0,1944.0,I
VISTRY GROUP PLC,GB00306718,4120,13092,18,2024,6044.7,3235900.0,74500.0,3904300.0,1894.714695302,4586.0,6044.7,1894.714695302,3235.9,74.5,3904.3,1934.0,VISTRY
SSP GROUP PLC,GB05735966,1089,38785,25,2024,3172.9,383200.0,27400.0,3435500.0,1272.002890634,48431.0,3172.9,1272.002890634,383.2,27.4,3435.5,2005.0,SSP
PEARSON PLC,GB00053723,5811,08/12/1897,27,2024,6892.0,4053000.0,434000.0,3594000.0,8541.514930092,17024.0,6892.0,8541.514930092,4053.0,434.0,3594.0,1897.0,PEARSON
MELROSE INDUSTRIES PLC,GB09800044,3030,42276,20,2024,7436.0,2844000.0,-49000.0,3468000.0,7124.196755645,13922.0,7436.0,7124.196755645,2844.0,-49.0,3468.0,2014.0,MELROSE INDUSTRIES
ITV PLC,GB04967001,6020,37943,20,2024,4186.0,1832000.0,408000.0,3488000.0,2789.893786223,6613.0,4186.0,2789.893786223,1832.0,408.0,3488.0,2002.0,ITV
INTERTEK GROUP PLC,GB04267576,7120,37112,31,2024,3599.3,1444900.0,345400.0,3393200.0,7630.666847547,45000.0,3599.3,7630.666847547,1444.9,345.4,3393.2,2000.0,INTERTEK
FRESNILLO PLC,GB06344120,2441,39309,21,2024,4687.30735770029,3356081.83574147,112327.19506663,2812673.92098725,4579.793768076,18095.0,4687.30735770029,4579.793768076,3356.08183574147,112.32719506663,2812.67392098725,2006.0,FRESNILLO
MOBICO GROUP PLC,GB02590560,4931,33308,17,2024,3268.9,200100.0,-810100.0,2599500.0,486.970523022,30840.0,3268.9,486.970523022,200.1,-810.1,2599.5,1990.0,MOBICO
SMITHS GROUP PLC,GB00137013,2651,5310,22,2024,4232.0,2252000.0,250000.0,3132000.0,6163.446811471,15765.0,4232.0,6163.446811471,2252.0,250.0,3132.0,1913.0,SMITHS
ENDEAVOUR MINING PLC,GB13280545,0729,44276,20,2024,4403.322,2390304.0,-239757.0,2137130.0,3476.90858625,5659.0,4403.322,3476.90858625,2390.304,-239.757,2137.13,2020.0,ENDEAVOUR MINING
ZEGONA COMMUNICATIONS PLC,GB09395163,6619,2015,15,2024,7094.22432572703,682517.281407175,-366758.873986947,2519659.08195532,5010.785300596,2400.0,7094.22432572703,5010.785300596,682.517281407175,-366.758873986947,2519.6590819553203,1904.0,ZEGONA COMMUNICATIONS
KELLER GROUP PLC,GB02442580,7112,32825,23,2024,1790.7,596700.0,142300.0,2987200.0,1058.160439,9386.0,1790.7,1058.160439,596.7,142.3,2987.2,1988.0,KELLER
SCOTTISH MORTGAGE INVESTMENT TRUST PLC,GBSC007058,6430,1908,14,2024,13744.255,12082465.0,1217759.0,1235966.0,11330.722010845,,13744.255,11330.722010845,12082.465,1217.759,1235.966,1904.0,SCOTTISH MORTGAGE INVESTMENT TRUST
WHITBREAD PLC,GB04120344,5510,36861,23,2024,9904.7,3334500.0,253700.0,2929300.0,4717.5780405,31613.0,9904.7,4717.5780405,3334.5,253.7,2929.3,1999.0,WHITBREAD
CRANSWICK PLC,GB01074383,1013,26571,11,2024,1531.2,987900.0,134300.0,2723300.0,2653.389825428,12268.0,1531.2,2653.389825428,987.9,134.3,2723.3,1971.0,CRANSWICK
RS GROUP PLC,GB00647788,4652,21937,18,2024,2620.6,1354500.0,152600.0,2903500.0,2661.787654319,8709.0,2620.6,2661.787654319,1354.5,152.6,2903.5,1959.0,RS
BELLWAY PLC,GB01372603,4120,28650,11,2024,4999.7,3465400.0,130500.0,2430800.0,3400.627147075,2773.0,4999.7,3400.627147075,3465.4,130.5,2430.8,1977.0,BELLWAY
INTERNATIONAL WORKPLACE GROUP PLC,GBJE122154,6831,2003,10,2024,7678.4549395178,113985.161045473,15941.9805658005,2941295.41439019,1610.104221992,9007.0,7678.4549395178,1610.104221992,113.98516104547299,15.9419805658005,2941.29541439019,1904.0,WORKPLACE
SEVERN TRENT PLC,GB02366619,3600,32599,17,2024,15909.7,1770800.0,229400.0,2429400.0,7598.380214159,9539.0,15909.7,7598.380214159,1770.8,229.4,2429.4,1988.0,SEVERN TRENT
MITCHELLS & BUTLERS PLC,GB04551498,5610,37531,15,2024,5245.0,2566000.0,149000.0,2610000.0,1767.239595572,50808.0,5245.0,1767.239595572,2566.0,149.0,2610.0,2001.0,MITCHELLS BUTLERS
SCHRODERS PLC,GB03909886,6619,21551,26,2024,20949.9,4495400.0,433000.0,2459700.0,5196.006016199,6363.0,20949.9,5196.006016199,4495.4,433.0,2459.7,1958.0,SCHRODERS
SIG PLC,GB00998314,4673,25931,25,2024,1178.2,179800.0,-48600.0,2611800.0,194.72057595,691.0,1178.2,194.72057595,179.8,-48.6,2611.8,1970.0,SIG
UNITED UTILITIES GROUP PLC,GB06559020,3600,32599,22,2024,16769.5,1999900.0,264700.0,2162700.0,6876.844721542,6203.0,16769.5,6876.844721542,1999.9,264.7,2162.7,1988.0,UNITED UTILITIES
THE WEIR GROUP PLC,GBSC002934,2813,14/06/1895,19,2024,3785.0,1853600.0,312200.0,2513000.0,5669.927255294,11830.0,3785.0,5669.927255294,1853.6,312.2,2513.0,1895.0,WEIR
SAVILLS PLC,GB02122174,7022,31877,17,2024,2251.3,777800.0,53600.0,2405500.0,1497.644440809,40579.0,2251.3,1497.644440809,777.8,53.6,2405.5,1986.0,SAVILLS
HALMA PLC,GB00040932,2611,13/04/1894,22,2024,3258.6,1899400.0,296400.0,2248100.0,9798.645816168,9286.0,3258.6,9798.645816168,1899.4,296.4,2248.1,1894.0,HALMA
HIKMA PHARMACEUTICALS PLC,GB05557934,2120,38603,21,2024,4091.50931221269,1850066.84466114,286158.551156118,2494919.95854777,4422.197076004,9308.0,4091.50931221269,4422.197076004,1850.06684466114,286.158551156118,2494.91995854777,2004.0,HIKMA PHARMACEUTICALS
THE SAGE GROUP PLC,GB02231246,5829,32218,18,2024,3639.0,1093000.0,323000.0,2332000.0,10293.914739963,10740.0,3639.0,10293.914739963,1093.0,323.0,2332.0,1987.0,SAGE
ASOS PLC,GB04006623,4771,36679,26,2024,2271.2,521300.0,-338700.0,2907800.0,432.467631982,3027.0,2271.2,432.467631982,521.3,-338.7,2907.8,1999.0,ASOS
